[00:02:37] Directory ready: /home/alexk/record/temp_recovery
[00:02:37] Directory ready: /home/alexk/data
[00:02:37] Directory ready: /home/alexk/archive
[00:02:37] Runing convbin to convert /home/alexk/record/20220210_000000.ubx to rnx
[00:02:37] Runing convbin to convert /home/alexk/record/20220210_010000.ubx to rnx

DATE/TIME           | C | EPOCH / FILE            | SITE | T | MESSAGE
--------------------+---+-------------------------+------+---+-----------------------------------------------------------...
2026-02-26 00:02:38 | N | 0000-00-00 00:00:00.000 | XXXX | O | SPLICE OF (2 files) 20220210_000000.rnx 20220210_0 ...
2026-02-26 00:02:38 | W | 0000-00-00 00:00:00.000 | XXXX | O | file duration -> unsupported file name >20220210_000000.rnx<
2026-02-26 00:02:38 | W | 0000-00-00 00:00:00.000 | ANTC | O | HEADER -> missing receiver type ><
2026-02-26 00:02:38 | W | 0000-00-00 00:00:00.000 | ANTC | O | HEADER -> missing antenna type ><
2026-02-26 00:02:38 | W | 0000-00-00 00:00:00.000 | XXXX | O | file duration -> unsupported file name >20220210_010000.rnx<
2026-02-26 00:02:38 | W | 0000-00-00 00:00:00.000 | ANTC | O | HEADER -> missing receiver type ><
2026-02-26 00:02:38 | W | 0000-00-00 00:00:00.000 | ANTC | O | HEADER -> missing antenna type ><
2026-02-26 00:02:38 | W | 0000-00-00 00:00:00.000 | XXXX | O | file duration -> unsupported file name >20220210_000000.rnx<
2026-02-26 00:02:38 | W | 0000-00-00 00:00:00.000 | ANTC | O | HEADER -> missing receiver type ><
2026-02-26 00:02:38 | W | 0000-00-00 00:00:00.000 | ANTC | O | HEADER -> missing antenna type ><
2026-02-26 00:02:38 | W | 2022-02-09 23:59:29.999 | ANTC | O | format error (dot-check) for prn G21 (length 128 / 8 values)
2026-02-26 00:02:38 | W | 2022-02-09 23:59:29.999 | ANTC | O | format error (dot-check) for prn R03 (length 128 / 8 values)
2026-02-26 00:02:38 | W | 2022-02-09 23:59:29.999 | ANTC | O | format error (dot-check) for prn R19 (length 128 / 8 values)
2026-02-26 00:02:38 | W | 2022-02-09 23:59:29.999 | ANTC | O | format error (dot-check) for prn R02 (length 128 / 8 values)
2026-02-26 00:02:38 | W | 2022-02-09 23:59:29.999 | ANTC | O | mismatch of number of satellites(34) and records got(30) 2022-02-09 23:59:29.9990000 !
2026-02-26 00:02:38 | W | 2022-02-09 23:59:51.999 | ANTC | O | format error (dot-check) for prn R02 (length 128 / 8 values)
2026-02-26 00:02:38 | W | 2022-02-09 23:59:51.999 | ANTC | O | mismatch of number of satellites(34) and records got(33) 2022-02-09 23:59:51.9990000 !
2026-02-26 00:02:38 | W | 2022-02-10 00:03:07.999 | ANTC | O | format error (dot-check) for prn R01 (length 128 / 8 values)
2026-02-26 00:02:38 | W | 2022-02-10 00:03:07.999 | ANTC | O | mismatch of number of satellites(34) and records got(33) 2022-02-10 00:03:07.9990000 !
2026-02-26 00:02:38 | W | 2022-02-10 00:03:31.999 | ANTC | O | format error (dot-check) for prn R01 (length 128 / 8 values)
2026-02-26 00:02:38 | W | 2022-02-10 00:03:31.999 | ANTC | O | mismatch of number of satellites(34) and records got(33) 2022-02-10 00:03:31.9990000 !
2026-02-26 00:02:38 | W | 2022-02-10 00:04:38.999 | ANTC | O | format error (dot-check) for prn R02 (length 128 / 8 values)
2026-02-26 00:02:38 | W | 2022-02-10 00:04:38.999 | ANTC | O | mismatch of number of satellites(34) and records got(33) 2022-02-10 00:04:38.9990000 !
2026-02-26 00:02:38 | W | 2022-02-10 00:05:41.999 | ANTC | O | format error (dot-check) for prn R02 (length 128 / 8 values)
2026-02-26 00:02:38 | W | 2022-02-10 00:05:41.999 | ANTC | O | mismatch of number of satellites(34) and records got(33) 2022-02-10 00:05:41.9990000 !
2026-02-26 00:02:38 | W | 2022-02-10 00:07:14.999 | ANTC | O | format error (dot-check) for prn R03 (length 128 / 8 values)
2026-02-26 00:02:38 | W | 2022-02-10 00:07:14.999 | ANTC | O | mismatch of number of satellites(34) and records got(33) 2022-02-10 00:07:14.9990000 !
2026-02-26 00:02:38 | W | 2022-02-10 00:07:42.999 | ANTC | O | format error (dot-check) for prn R01 (length 128 / 8 values)
2026-02-26 00:02:38 | W | 2022-02-10 00:07:42.999 | ANTC | O | mismatch of number of satellites(34) and records got(33) 2022-02-10 00:07:42.9990000 !
2026-02-26 00:02:39 | W | 2022-02-10 00:10:01.999 | ANTC | O | format error (dot-check) for prn R01 (length 128 / 8 values)
2026-02-26 00:02:39 | W | 2022-02-10 00:10:01.999 | ANTC | O | mismatch of number of satellites(34) and records got(33) 2022-02-10 00:10:01.9990000 !
2026-02-26 00:02:39 | W | 2022-02-10 00:10:23.999 | ANTC | O | format error (dot-check) for prn R02 (length 128 / 8 values)
2026-02-26 00:02:39 | W | 2022-02-10 00:10:23.999 | ANTC | O | mismatch of number of satellites(34) and records got(33) 2022-02-10 00:10:23.9990000 !
2026-02-26 00:02:39 | W | 2022-02-10 00:11:12.999 | ANTC | O | format error (dot-check) for prn R02 (length 128 / 8 values)
2026-02-26 00:02:39 | W | 2022-02-10 00:11:12.999 | ANTC | O | mismatch of number of satellites(34) and records got(33) 2022-02-10 00:11:12.9990000 !
2026-02-26 00:02:39 | W | 2022-02-10 00:12:02.999 | ANTC | O | format error (dot-check) for prn R01 (length 128 / 8 values)
2026-02-26 00:02:39 | W | 2022-02-10 00:12:02.999 | ANTC | O | mismatch of number of satellites(35) and records got(34) 2022-02-10 00:12:02.9990000 !
2026-02-26 00:02:39 | W | 2022-02-10 00:12:27.999 | ANTC | O | format error (dot-check) for prn R02 (length 128 / 8 values)
2026-02-26 00:02:39 | W | 2022-02-10 00:12:27.999 | ANTC | O | mismatch of number of satellites(35) and records got(34) 2022-02-10 00:12:27.9990000 !
2026-02-26 00:02:39 | W | 2022-02-10 00:12:37.999 | ANTC | O | format error (dot-check) for prn R01 (length 128 / 8 values)
2026-02-26 00:02:39 | W | 2022-02-10 00:12:37.999 | ANTC | O | mismatch of number of satellites(35) and records got(34) 2022-02-10 00:12:37.9990000 !
2026-02-26 00:02:39 | W | 2022-02-10 00:12:42.999 | ANTC | O | format error (dot-check) for prn R10 (length 128 / 8 values)
2026-02-26 00:02:39 | W | 2022-02-10 00:12:42.999 | ANTC | O | mismatch of number of satellites(35) and records got(34) 2022-02-10 00:12:42.9990000 !
2026-02-26 00:02:39 | W | 2022-02-10 00:13:18.999 | ANTC | O | format error (dot-check) for prn R15 (length 128 / 8 values)
2026-02-26 00:02:39 | W | 2022-02-10 00:13:18.999 | ANTC | O | mismatch of number of satellites(34) and records got(33) 2022-02-10 00:13:18.9990000 !
2026-02-26 00:02:39 | W | 2022-02-10 00:15:08.999 | ANTC | O | format error (dot-check) for prn R17 (length 128 / 8 values)
2026-02-26 00:02:39 | W | 2022-02-10 00:15:08.999 | ANTC | O | mismatch of number of satellites(34) and records got(33) 2022-02-10 00:15:08.9990000 !
2026-02-26 00:02:39 | W | 2022-02-10 00:15:24.999 | ANTC | O | format error (dot-check) for prn R17 (length 128 / 8 values)
2026-02-26 00:02:39 | W | 2022-02-10 00:15:24.999 | ANTC | O | mismatch of number of satellites(33) and records got(32) 2022-02-10 00:15:24.9990000 !
2026-02-26 00:02:39 | W | 2022-02-10 00:16:49.999 | ANTC | O | format error (dot-check) for prn R17 (length 128 / 8 values)
2026-02-26 00:02:39 | W | 2022-02-10 00:16:49.999 | ANTC | O | mismatch of number of satellites(33) and records got(32) 2022-02-10 00:16:49.9990000 !
2026-02-26 00:02:39 | W | 2022-02-10 00:17:54.999 | ANTC | O | format error (dot-check) for prn R17 (length 128 / 8 values)
2026-02-26 00:02:39 | W | 2022-02-10 00:17:54.999 | ANTC | O | mismatch of number of satellites(32) and records got(31) 2022-02-10 00:17:54.9990000 !
2026-02-26 00:02:39 | W | 2022-02-10 00:20:20.999 | ANTC | O | format error (dot-check) for prn R02 (length 128 / 8 values)
2026-02-26 00:02:39 | W | 2022-02-10 00:20:20.999 | ANTC | O | mismatch of number of satellites(32) and records got(31) 2022-02-10 00:20:20.9990000 !
2026-02-26 00:02:39 | W | 2022-02-10 00:20:38.999 | ANTC | O | format error (dot-check) for prn R03 (length 128 / 8 values)
2026-02-26 00:02:39 | W | 2022-02-10 00:20:38.999 | ANTC | O | mismatch of number of satellites(32) and records got(31) 2022-02-10 00:20:38.9990000 !
2026-02-26 00:02:39 | W | 2022-02-10 00:21:33.999 | ANTC | O | format error (dot-check) for prn R17 (length 128 / 8 values)
2026-02-26 00:02:39 | W | 2022-02-10 00:21:33.999 | ANTC | O | mismatch of number of satellites(32) and records got(31) 2022-02-10 00:21:33.9990000 !
2026-02-26 00:02:39 | W | 2022-02-10 00:23:59.999 | ANTC | O | format error (dot-check) for prn R02 (length 128 / 8 values)
2026-02-26 00:02:39 | W | 2022-02-10 00:23:59.999 | ANTC | O | mismatch of number of satellites(32) and records got(31) 2022-02-10 00:23:59.9990000 !
2026-02-26 00:02:39 | W | 2022-02-10 00:25:13.999 | ANTC | O | format error (dot-check) for prn R02 (length 128 / 8 values)
2026-02-26 00:02:39 | W | 2022-02-10 00:25:13.999 | ANTC | O | mismatch of number of satellites(32) and records got(31) 2022-02-10 00:25:13.9990000 !
2026-02-26 00:02:39 | W | 2022-02-10 00:25:19.999 | ANTC | O | format error (dot-check) for prn R02 (length 128 / 8 values)
2026-02-26 00:02:39 | W | 2022-02-10 00:25:19.999 | ANTC | O | mismatch of number of satellites(32) and records got(31) 2022-02-10 00:25:19.9990000 !
2026-02-26 00:02:39 | W | 2022-02-10 00:26:16.999 | ANTC | O | format error (dot-check) for prn R02 (length 128 / 8 values)
2026-02-26 00:02:39 | W | 2022-02-10 00:26:16.999 | ANTC | O | mismatch of number of satellites(32) and records got(31) 2022-02-10 00:26:16.9990000 !
2026-02-26 00:02:39 | W | 2022-02-10 00:27:00.999 | ANTC | O | format error (dot-check) for prn R02 (length 128 / 8 values)
2026-02-26 00:02:39 | W | 2022-02-10 00:27:00.999 | ANTC | O | mismatch of number of satellites(32) and records got(31) 2022-02-10 00:27:00.9990000 !
2026-02-26 00:02:39 | W | 2022-02-10 00:28:36.999 | ANTC | O | format error (dot-check) for prn R02 (length 128 / 8 values)
2026-02-26 00:02:39 | W | 2022-02-10 00:28:36.999 | ANTC | O | mismatch of number of satellites(32) and records got(31) 2022-02-10 00:28:36.9990000 !
